ايالاتمتحده :  ايالات متحده  
درشبظلمانيجاهليت :  درشب ظلماني جاهليت  
اينهمكاريلازماست :  خطا 
همچنينخاطرنشانكرد :  خطا 
مقاماتموستارگفتند :  مقامات موستارگفت ند  
معرفييكشاعرخردسال :  خطا 
پسازكشتهشدنراننده :  خطا 
وارداينكشورميشوند :  خطا 
ازسويفدراسيونكشتي :  خطا 
واحدرسانههايخارجي :  واحدرسانه هاي خارجي  
بهگزارشخبرگزاريها :  به گزارش خبرگزاريها  
پذيراييدرباغشازده :  پذيرايي درباغ شازده  
گابريلگارسياماركز :  خطا 
واحدخلاقيتهايعلمي :  واحدخلاقيتهاي علمي  
بانكاتريشاعلامكرد :  خطا 
واحدنمايشحوزههنري :  واحدنم ايش حوزه هنري  
بهگزارشتلويزيونبي :  به گزارشت لويز يون بي  
برگدرختانوميوهجات :  برگ درختان وميوه جات  
موسيلينيدرايتاليا :  موسيليني درايتاليا  
بلكهبهمثابهيكپديده :  خطا 
ازسويحوزهمعاونتفني :  ازسوي حوزه معاونت فني  
بهدنبالاينانفجارها :  به دنبال اينان فجار ها  
امروزازقطرديداركند :  خطا 
سهبرادربهاساميرسول :  سه برادر بها سامير سول  
برگزاريمسابقاتعلمي :  برگزاري مسابقات علمي  
هرچندكهقايقهايتازه :  خطا 
دكترامينيجامعهشناس :  خطا 
ازجنوببهخيابانمينا :  ازجنوب بهخ يابان مينا  
بيماريدنگويروسياست :  بيماريد نگو يروس ياست  
ديروزدرمسكواعلامشد :  خطا 
تيمهايالشبابامارات :  تيمهاي الشباب امارات  
بازيگرانبهعنوانمقلد :  بازيگران به عنوانم قل د  
حزبكمونيستجديدروسيه :  خطا 
باافزايشدمايكرهزمين :  خطا 
تجديديمالبچهننرهاست :  تجديدي مال بچه ننرهاست  
بهمناسبتاربعينحسيني :  بهمن اسبت اربعين حسيني  
غربوشمالشرقتهرانگفت :  غربوشمال شرق تهران گفت  
خبرنگاراعزاميهمشهري :  خبرنگاراعزامي همشهري  
درحالديدارازمغرباست :  درحال ديداراز مغرب است  
تراكتورسازيتبريزصفر :  خطا 
امسالبرخلافروندجاري :  امسال برخلاف روندجاري  
تاچهاردهمتيرماهمكان :  خطا 
شركتهوايياكسكاليبور :  خطا 
احساسفخروغرورميكنند :  خطا 
وبزرگسالبرگزارميشود :  وبزرگسال برگزارميشود  
وزيرخارجهسوريهافزود :  وزيرخارجه سوريها فزود  
دراروپايدورانمسيحيت :  دراروپاي دورانم سي حيت  
هرسالهدرارديبهشتماه :  هرساله درارديبهشت ماه  
باامضايپيمانفرانسوي :  باامضاي پيمان فرانسوي  
وليبازهمخريدارندارد :  ولي بازهم خريدارند ارد  
مناسباتتغييركردهاند :  خطا 
اينفصلخاطرهانگيزاست :  اين فصل خاطرهانگيز است  
درشمالكشميردرحركتبود :  خطا 
اگرهمكاريمطبوعاتنبود :  خطا 
اماتلويزيونمسكوپريشب :  خطا 
صبروبردباريطلبميكنيم :  خطا 
خبرگزاريجمهورياسلامي :  خبرگزاري جمهوري اسلامي  
شمالومركزكشورايتاليا :  خطا 
خاكحاصلخيزبازهكشيخوب :  خطا 
روبرويمجموعهگلگونالف :  روبرويم جموعه گلگون الف  
بهگزارشخبرنگارهمشهري :  به گزارش خبرنگارهمشهري  
تيمهايپلياكريلاصفهان :  خطا 
پاركخياممراجعهنمايند :  خطا 
بهگزارشخبرگزاريرويتر :  به گزارش خبرگزاري رويتر  
حكومتويراواژگونسازند :  خطا 
فدراسيونجودواعلامكرد :  خطا 
فدراسيونكشتياعلامكرد :  خطا 
درختتمامهستيطبيعتاست :  درخت تمامه ستي طبيعتا ست  
براساساينيادداشتتفاهم :  براساسا ينياد داشت تفاهم  
ويكهرياستكميسيونسياسي :  خطا 
عبديسردبيرروزنامهسلام :  عبدي سردبيرروزنامه سلام  
موسمگرماازراهرسيدهاست :  موسم گرما ازراه رسيدها ست  
جزيياتتحولاتروسيهمسكو :  خطا 
نظامامتحاناتفشردهژاپن :  نظام امتحانات فشرده ژاپن  
بدونداشتننيازبهدلالان :  بدوند اشتن نيازبه دلالان  
بارندگيوسيلهاياخيرهند :  بارندگي وسيلهاي اخيره ند  
بلانكبرايفرانسهوديكوك :  خطا 
درگزارشكجنشانهرفتهايد :  خطا 
روابطبينافرادنهفتهاست :  روابطبين افرادنهفته است  
شاخوبرگدرختانوميوهجات :  شاخ وبرگ درختان وميوه جات  
بهگزارشخبرگزاريفرانسه :  به گزارش خبرگزاري فرانسه  
نرخمحصولاتبهشرحزيراست :  نرخم حصولات بهش رح زيراست  
كمخوابيوانزواياجتماعي :  خطا 
بهزمينبرخوردكردوكشتهشد :  خطا 
حسنشيخالاسلامزادهاشاره :  حسنش يخ الاسلام زادهاشاره  
دررابطهباانتخاباتروسيه :  دررابطه باانتخابات روسيه  
انجمنسينمايجوانانايران :  انجمن سينماي جوانان ايران  
خيابانخاورانمراجعهكنند :  خطا 
براساساطلاعيهبنيادشهيد :  براساسا طلاع يه بنيادشهيد  
انتخابشدعبداللهعليمراد :  انتخابشد عبدالله عليمراد  
توفاندرياييدرخليجبنگال :  توفان درياييد رخ ليج بنگال  
يگانهاييازنيروهايزميني :  يگانهايي ازنيروهاي زميني  
فرهنگيوهنريثبتنامميكند :  خطا 
سرانجامپسازيكسالانتظار :  خطا 
دوكشتيوسههليكوپترامداد :  خطا 
بهگزارشروزنامهرسميكشور :  خطا 
دراينحادثهدههابشكهتينر :  خطا 
مثلداديارديوانعاليكشور :  خطا 
بهمنظورتوسعهوتعميمورزش :  بهمن ظور توسعه وتعميم ورزش  
قطروارمنستانصادرشدهاست :  قطرو ارمنستان صادرشده است  
امشبدرورزشگاهويمبليلندن :  امشبدر ورزشگاهو يم بليل ندن  
بهگزارشواحدمركزيخبرازبن :  خطا 
واحدرسانههايخارجيهمشهري :  واحدرسانه هاي خارجيه مشهري  
ويكهبااشارهكارخانهموشكي :  خطا 
تقاطعسميهبرگزارخواهدكرد :  خطا 
درهركجاكهامكانداشتهباشد :  خطا 
فدراسيونواليبالاعلامكرد :  خطا 
نفراتتيمايراندراوزاناول :  نفرات تيما يراند راو زانا ول  
شركتمليگازايراناعلامكرد :  خطا 
روابطعموميروزنامههمشهري :  روابطعمومي روزنامه همشهري  
اينعنوانارزشمندراكسبكرد :  خطا 
مهندسهاشميطبادرپايانگفت :  مهندسه اشمي طبا درپايان گفت  
حداكثركارروزانهمعدنچيان :  خطا 
بهخاطردارموقتيكهبچهبودم :  خطا 
اروميهواصفهاندنبالميشود :  اروميه واصفهان دنبالم يش ود  
محلاينمانوراعلامنشدهاست :  محلا ينما نورا علام نشدها ست  
باپايانيافتنماجرايكربلا :  خطا 
توجهمنتقدينرابهخودجلبكرد :  خطا 
تيمبهمندرسالگذشتهچنينبود :  تيم بهمند رسال گذشته چنين بود  
تيراژهيچيكازكتابهايفلسفي :  خطا 
بااجراياينقانونبازدارنده :  بااجراي اين قانون بازدارنده  
دريكيازبيمارستانهايتهران :  خطا 
انگيزهاصلياينگفتگوميباشد :  انگيزه اصلي اينگ فت گومي باشد  
باشيرجهايبهدروناستخرپريد :  باشير جها يبه درونا ست خر پريد  
يكمنبعرسميدربيتالمقدسگفت :  خطا 
دوزنبهچاهفاضلابسقوطكردند :  خطا 
طرفديگررابهبدنيتيمتهمكرد :  خطا 
نبشكوچهوزيريبازديدنمايند :  خطا 
اينكهميدانهايميوهوترهبار :  خطا 
روزنامهدولتيتشرينچاپدمشق :  روزنامه دولتي تشرين چاپد مشق  
صندوقكودكانسازمانمللمتحد :  خطا 
پطروسغاليدبيركلسازمانملل :  خطا 
پاكستاندراقداميغيرمنتظره :  خطا 
هرسالتنهادوميليونعضوتازه :  هرسال تنهادو ميليون عضوتازه  
صنايعدستيوهنربرپاكردهاست :  خطا 
حكمتيارامروزواردكابلميشود :  خطا 
بهگزارشخبرگزاريرويترازپكن :  خطا 
دريكحادثهرانندگيدرشهركقدس :  خطا 
دبيركلاتحاديهجهانيمخابرات :  خطا 
طبقهزيرينمجموعهفرهنگيبعثت :  طبقه زيرين مجموعه فرهنگي بعثت  
فيزيكدرارديبهشتماهسالجاري :  خطا 
مديركلمبارزهباموادمخدرگفت :  خطا 
مقايسهشهادتدراسلامومسيحيت :  مقايسه شهادت دراسلام ومسيحيت  
بهگزارشخبرگزاريهاازپكنوبن :  خطا 
بهتعريفشهرپايدارميپردازيم :  بهت عريف شهرپايدار ميپردازيم  
ايندوتصويررابادقتنگاهكنيد :  خطا 
يونايتدپرسمردانمسلحناشناس :  يونايتدپرس مردانم سل حنا شناس  
بانوجوانانچگونهبرخوردكنيم :  خطا 
برگهايگردباحاشيهدندانهدار :  برگهاي گرد باحاشيه دندانه دار  
موضوعهايموردبحثدراينهمايش :  موضوعهاي موردبحث دراين همايش  
درراهروهايدادگاهخانوادهزن :  درراهروهاي دادگاه خانوادهز ن  
درراهروهايدادگاهخانوادهمرد :  درراهروهاي دادگاه خانواده مرد  
برايادارهاعتصابدستهجمعيخود :  برايا دارها عتصاب دسته جمعي خود  
متعهدوانقلابيدرصحنههايعلمي :  متعهدو انقلابي درصحنه هاي علمي  
سوژههاييبراينمايشتنظيمگردد :  سوژه هايي براين مايش تنظيم گردد  
بعدازكاروانبزرگوپراميدكشتي :  خطا 
دريكمراسمسنتيدرشمالپاكستان :  خطا 
حداقلپاسخبهايناقدامپسنديده :  حداقل پاسخ بهاي ناقد امپ سندي ده  
مداخلهخارجيدرامورداخليكشور :  خطا 
شروعشدوبهسايرنقاطگسترشيافت :  شروعش دوبه سايرنقاط گسترشي افت  
حداكثرطولبدنازسرتاانتهايدم :  خطا 
خيابانوليعصرروبرويپاركساعي :  خطا 
حاضرشدهاندويرانامزدخودكنند :  خطا 
مقبرههايقديميراشكافتهبودند :  خطا 
واقعافوتبالشگفتانگيزوزيباست :  واقعا فوتبالش گفتا نگيز وزيباست  
اينپالايشگاههادرشهرهايشهرضا :  اين پالايشگاهها درشهرهاي شهرضا  
دودارويدرمانبيماريهايكودكان :  خطا 
واقعدرشمالشرقاينكشورمتهمكرد :  خطا 
بهگزارشخبرگزاريجمهورياسلامي :  به گزارش خبرگزاري جمهوري اسلامي  
اعتباراينكوپنهاتاپانزدهماست :  خطا 
ملوانوتراكتورسازيشكستخوردند :  خطا 
كوزووبخشيازجمهوريصربستاناست :  خطا 
عمدتاازدانهدرختانتغذيهميكند :  خطا 
افعيچهارنيشهكهدرمراتعشهركرد :  خطا 
روبهرويباغخوردينگشايشمييابد :  روبه روي باغ خوردين گشايش مييابد  
خطربيماريهايقلبيرابالاميبرد :  خطربيماريهاي قلبي رابالامي برد  
تحتعنوانيادوارهشهدايهفتمتير :  تحت عنواني ادوار هش هدايه فت متي ر  
هنگاميكهسخنازمفاهيميچونبودجه :  خطا 
مدتهاستدرابتدايراهوروديرودهن :  مدتهاست درابتداي راهور ودي رودهن  
زدوخورددرايالتاسيوتمصررويداد :  زدوخورد درايالت اسيوت مصرروي داد  
ازجهاتديگرينيزقابلقدردانيبود :  ازجهات ديگري نيزقابل قدرداني بود  
مقدماتلازمبراياينامرفراهمشود :  مقدمات لازم برايا ينام رفر اهم شود  
بهعنوانوزيرواردكابينههندشدند :  خطا 
وزيرامورخارجهسوريهدراينديدار :  وزيرامورخارجه سوريه دراين ديدار  
مقدورنيستوبهبيراههمنتهيميشود :  مقدورنيست وبه بيراهه منتهي ميشود  
تهيهواكسنهايگياهيبرايحيوانات :  خطا 
اينموفقيتازدوبعدقابلبررسياست :  اينم وفقي تازد وبعد قابل بررسي است  
بهگزارشناحيهانتظاميتهرانبزرگ :  به گزارش ناحيه انتظامي تهرانب زرگ  
نصبتابلوهايهشداردهندهانتظامي :  نصبتابلوهاي هشداردهنده انتظامي  
گفتوگوبامجريطرحصدايمعلماشاره :  گفتو گوبا مجري طرح صدايم علما شاره  
خودبهعنوانفرمانروايسياستمدار :  خودبه عنوان فرمانرواي سياستمدار  
بهگزارشخبرگزاريفرانسهازقاهره :  به گزارش خبرگزاري فرانسه ازقاهره  
عمرينخواهندداشتوبارانروزگاران :  عمري نخواهندداشت وباران روزگاران  
مابيشازاينكهدربارهعكسحرفبزنيم :  خطا 
قفلمركزيوسيستماعلامخطرخودروها :  خطا 
بهاطلاعخوانندگانمحترمميرسانيم :  بها طلاع خوانندگانم حتر ممي رسانيم  
ويبرايتهيهعكسوخبرازچگونگيحمله :  خطا 
سرجرجيانگوزيرحملونقلانگليسگفت :  سرجرج يانگو زير حملو نقلا نگليس گفت  
توجهخودرابهدويهمگانيمضاعفنمود :  توجه خودرابه دوي همگاني مضاعف نمود  
براساسگزارشيكهشبكهتلويزيونياي :  خطا 
مديرعاملسازمانقندوشكراعلامكرد :  خطا 
اينمزدبهافرادغيرماهردادهميشود :  اينم زد بها فراد غيرماهر دادهم يش ود  
امابايكحملهصاعقهوارناوگانژاپن :  خطا 
مقدمهايبرانديشهسياسينيچهنوشته :  مقدمه ايبر انديشه سياسي نيچه نوشته  
مايكلراهنگامانتقالبهبيمارستان :  خطا 
اينخانوادهداراييكدختروپسربودند :  خطا 
منقتلمظلومافقدجعلنالوليهسلطانا :  من قتلم ظلوما فقد جعلنا لوليه سلطانا  
درراستايبسطوگسترشسياستهايرفاهي :  درراستاي بسطوگسترش سياستهاي رفاهي  
بهمناطقدورافتادهايدراينكشوراست :  خطا 
كارفرمايانومديرانواحدهايتوليدي :  خطا 
اينطرزتلقيكهاگرموهايمنمجعدنبود :  خطا 
خبرگزاريفرانسهبهگفتهمنابعدولتي :  خبرگزاري فرانسه به گفته منابع دولتي  
ايجادبلوكميهندوستاندرروسيهمسكو :  خطا 
دوگروهحزباللهدرمجلستشكيلشدهاست :  خطا 
حسينيههاوتكايابهشرحزيراعلامكرد :  خطا 
بنابهگزارشخبرگزاريجمهورياسلامي :  بنابه گزارش خبرگزاري جمهوري اسلامي  
مهندسعظيميمعاونسازمانپاركهاگفت :  خطا 
زيراموفقنشدهاستبهحدكافينويسنده :  خطا 
تاسيساتوتجهيزاتشهريمربوطنميشود :  تاسيسات وتجهيزات شهريم ربوط نميشود  
متاسفانهابرشهرتهرانازاينبابتنيز :  متاسفانه ابرشهر تهراناز اينبا بتني ز  
روزگذشتهسريبهاردويتيمجوانانزديم :  روزگذشته سري بهار دويت يم جوانان زد  
دربرنامهميزگردهفتهشبكهسراسريصدا :  خطا 
جزاينقديوانفصالازخدماتمحكومشدند :  خطا 
اينرقابتهاباشركتتيمهايجوانانقطر :  خطا 
ظرفسالهايپسازپيروزيانقلاباسلامي :  ظرف سالهاي پساز پيروزيان قلاب اسلامي  
معادلصدوهشتادميليونليترنفتدرسال :  معادل صدوهشتادميليون ليترنفت درسال  
اوازپستوزارتخارجهاستعفاخواهدكرد :  خطا 
دراينديداربرتقويتطرحارشادوامداد :  دراين ديداربر تقويت طرح ارشادو امداد  
مجازاتحملماريجوانادرويتنامهانوي :  مجازات حمل ماريجوانا درويتنام هانوي  
درپيانفجاريكبمبدريكبندرجزيرهكرس :  خطا 
تاسيسخبرگزاريتازهدركاناداتورنتو :  خطا 
بارندگيشديدوجاريشدنسيلدرشهرداكا :  خطا 
مهندسستارمحموديدرسفربهبيرجندگفت :  مهندس ستار محمودي درسفربه بيرجندگفت  
احمدصفاييفرمشاورمعاونرياستجمهوري :  احمد صفايي فرمش اورم عاون رياست جمهوري  
نقرهايودارايبريدگيهايعميقميباشند :  نقره ايو داراي بريدگيهاي عميقم يبا شند  
همانطوركهدرمتننوشتههمتصريحشدهاست :  خطا 
روزگذشتهبهميزانششصدمثانيهشكستهشد :  خطا 
تماميقسمتهايهواييگياهكركدارهستند :  خطا 
بهيكيادوسفرتداركاتيخارجياعزامكند :  خطا 
خبرگزاريجمهورياسلاميايزوستيانوشت :  خبرگزاري جمهوري اسلامي ايزوستيا نوشت  
بهگزارشروابطعموميمجلسشوراياسلامي :  به گزارش روابطعمومي مجلسش وراي اسلامي  
ششصدتنفروشندهايناجناسراميفروختند :  ششصدتن فروشندها ينا جناس رامي فروختند  
خبرگزاريرسمياردنبااعلاماينخبرگفت :  خبرگزاري رسمي اردن بااعلام اين خبرگفت  
خشممردانانگليسوضربوشتمهمسرانلندن :  خشمم ردان انگليس وضرب وشتم همسران لندن  
برخلافگفتههاونوشتههايبرخيمطبوعات :  برخلاف گفته هاونوشته هاي برخي مطبوعات  
امادراينموردخاصدوستداشتمكودكباشم :  خطا 
بهگزارشخبرگزاريجمهورياسلاميازپكن :  خطا 
معدنچيانروربهاعتصابخودپاياندادند :  معدنچيان رور بها عتصاب خودپايان دادند  
سخنگويحزباسلاميافغانستانديروزگفت :  سخنگوي حزباسلامي افغانستان ديروزگفت  
مسعوديلمازرهبرحزبراستگرايمامميهن :  مسعوديلماز رهبرحزب راستگراي مام ميهن  
بهگفتهسازمانبازرسيونظارتبرقيمتها :  به گفته سازمان بازرسي ونظارت برقيمتها  
ادامهجاريشدنسيلدرايالتراجستانهند :  ادامه جاريش دنسي لدر ايالت راجستان هند  
ويازديرزمانبيمارشدهبودودرماننميشد :  ويا زدي رزمان بيمارشده بودودر مانن ميشد  
امينزادهدبيرسرويسشهريروزنامهايران :  امين زاده دبيرسرويس شهريروز نامهاي ران  
باتوجهبهسياستجديددولتدرريشهكنيفقر :  خطا 
بهگزارشخبرگزاريجمهورياسلاميازكابل :  خطا 
دستگيرشدگانكهفريدونومحمودنامدارند :  خطا 
كميسيونسهجانبههمكاريهايمشتركايران :  خطا 
باتسليتبهاينهمكاروخانوادهمحترمشان :  خطا 
پاركهايجديددرخيابانهايشهيدكلاهدوز :  خطا 
هرهفتهفيلمسينمايينمايشدادهخواهدشد :  هرهفته فيلم سينمايي نمايش داده خواهدشد  
افرادموفقوناموفقذاتاباهمفرقندارند :  افرادموفق وناموفق ذاتا باهم فرق ندارند  
امامجمعهموقتتهراندرخطبهاولنمازگفت :  امام جمعه موقت تهراندر خطبه اولن ماز گفت  
شمارهتلفنهايچهاررقميشهرستاندماوند :  شمارهتل فن هاي چهاررقمي شهرستان دماوند  
يكگروهبينالملليازاستاداندانشگاهها :  خطا 
كتابدرخدمتفرانسهاثربارسانتشاريافت :  خطا 
امابههردليلاگرايناعتمادخدشهدارشود :  امابه هردليل اگراين اعتماد خدشه دارشود  
اينگفتگوتوسطيوسفعزيزيانجامگرفتهاست :  اينگ فت گوتو سطي وس فع زيزي انجام گرها ست  
گفتگويذيلكهازطريقكامپيوترصورتگرفته :  خطا 
روزنامهعربزبانالشرقالاوسطديروزنوشت :  روزنامه عربزبان الشرق الاوسط ديروزنوشت  
بازديدكنندگانرابهاعجابوتحسينواداشت :  خطا 
دربارهروندصلحخاورميانهباويگفتگوكرد :  خطا 
فرزنددبستانيمندوستنداردصبحانهبخورد :  فرزند دبستاني مندو ستند ارد صبحانه بخورد  
فرانسهرضايتخودراازاينتوافقاعلامكرد :  خطا 
خلبانهواپيماضمنپروازمتوجهدودشدهبود :  خلبان هواپيما ضمن پروازم توجه دودشده بود  
ايدزيوغيرهرانيزتحتپوششقرارخواهدداد :  ايدزي وغيره رانيز تحت پوشش قرارخواهد داد  
دادوستدسهامدربورستهرانسرويساقتصادي :  دادوستد سهامد ربو رسته رانس رويس اقتصادي  
مركزبهداشتيدرمانيفرحزادشبانهروزيشد :  خطا 
تحولاتمنطقهايوداخليبحثوتبادلنظركرد :  خطا 
ژانپيرشونمانوزيردفاعپيشينفرانسهگفت :  ژان پيرشونمان وزيردفاع پيشين فرانسه گفت  
درمطلبمربوطبهموفقيتمهندسرمضانوحيدي :  درمطلب مربوطبه موفقيتم هندس رمضان وحيدي  
فيلميديگرازجنگهايداخلياسپانيااشاره :  فيلمي ديگراز جنگهاي داخليا سپانيا اشاره  
توفاندرياييكهطليعهتوفانهايبيشتراست :  خطا 
حالاوخوباستوازاينبابتجاينگرانينيست :  حالا وخوب استوا زاين بابت جاين گراني نيست  
ورزشيشهرداريتهرانهمچنينخاطرنشانكرد :  خطا 
برنامهمحيطزيستوبرنامهتوسعهسازمانملل :  برنامه محيطزيست وتوسعه سازمانم لل  
بهگزارشواحدمركزيخبربهنقلازراديوامان :  خطا 
بخشكاشتدندانمركزدندانپزشكيامامخميني :  خطا 
باافزايشتقاضابرايمدارجومداركپايينتر :  خطا 
عمانيكعماندربازيبرگشتهمحريفايراننشد :  خطا 
بهرغمدستاوردنسبتامثبتيلتسيندردوراول :  بهر غم دستاورد نسبتا مثبتي لتسي ندرد ورا ول  
باتسليتبهاينهمكاروخانوادهمحترمايشان :  خطا 
ازتلفاتومجروحانحادثهاطلاعيدردستنيست :  ازتلفات ومجروحان حادثه اطلاعيد ردست نيست  
مناطقباتلاقينزديكرودخانههاودرياچهها :  خطا 
جنگلسرخهحصاروافسريهوشرقخيابانوليعصر :  جنگل سرخه حصارو افسريه وشرق خيابان وليعصر  
بهگزارشخبرگزاريجمهورياسلاميازابوظبي :  به گزارش خبرگزاري جمهوري اسلامي ازابوظبي  
درپيديداريكهياتبازرگانيتركيهازبغداد :  خطا 
درشمارهويژهنامهجامملتهاياروپانوشتيم :  درشماره ويژه نامه جامم لته ايار وپانوشت يم  
اينكنگرهضمنتدويناستراتژيتوسعهويتنام :  خطا 
ويپايتختمصررانيزبهتبتغييردادواحيانا :  ويپا يت ختم صر رانيزبه تبتغي يردا دوا حيان ا  
تاميناجتماعيازضرورتهايزندگيامروزاست :  تامين اجتماعي ازضرورتهاي زندگيا مروز است  
كشورراازوارداتاينمحصولبينيازخواهدكرد :  خطا 
يكبعديوگاهباپيامدهايزيانباريهمراهاست :  خطا 
دهدرصدبيماريهايتنفسيازاوزونناشيميشود :  دهدر صد بيماريهاي تنفسي ازاوزون ناشي ميشود  
دودناشيازاينحريقمنطقهساختمانهايدولتي :  دودناشي ازاين حريق منطقه ساختمانهاي دولتي  
مالكومريفكيندوزيرخارجهانگليسديروزگفت :  خطا 
شركتواحداتوبوسرانيتهرانوحومهاعلامكرد :  خطا 
رژيمصهيونيستيبهتناقضگوييافتادهاستمصر :  رژيم صهيونيستي بهتن اقض گوييا فتاده استم صر  
نيرويانتظاميوشهردارياينشهرستانمهارشد :  نيرويا نتظامي وشهرداري اينش هرستان مهارشد  
روزنامهواشنگتنپستدرشمارهديروزخودنوشت :  روزنامه واشنگتن پست درشماره ديروزخود نوشت  
جلداولژانكريستفنوشتهرومنرولانمنتشرشد :  خطا 
قانونممنوعيتتدريسانجمنهايمذهبياجراشد :  قانون ممنوعيت تدريس انجمنهاي مذهبي اجراشد  
روابطعموميسازمانثبتاحوالكشوراعلامكرد :  خطا 
شماركشتهشدگانسيلكهازسهروزپيشدرشرقچين :  خطا 
رواياتتعزيهحرباشركتگروههايتعزيهميگون :  خطا 
باتلاششبانهروزيپرسنلزحمتكشاينشهرداري :  خطا 
ازواحدرسانههايخارجيانتقامخونيننگهبان :  ازواحد رسانه هاي خارجيان تقام خونين نگهبان  
ازمدتهاپيشدرمحاصرهكاملقرارگرفتهبودند :  خطا 
